Identifier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Risk.Score,Event.Count,Flag
2021FX3 LLC-CCX-2000,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-C-180J,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Cessna-C-182J,0.0,0.0,0.0,8.0,0.0,2,5 or less events
Cessna-C-182P,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Cessna-C-402,0.0,0.0,0.0,6.0,0.0,2,5 or less events
Cessna-C152,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Cessna-C172M,0.0,0.0,0.0,5.0,0.0,4,5 or less events
Cessna-C177B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-C182,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Cessna-CE-152,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-L-19,0.0,0.0,0.0,9.0,0.0,5,5 or less events
Cessna-P337,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Cessna-T-188,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-T-206,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Cessna-T206H,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-T210C,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-TU-206A,0.0,0.0,0.0,7.0,0.0,2,5 or less events
Cessna-U206D,0.0,0.0,0.0,3.0,0.0,2,5 or less events
DAY WILLIAM L-MINICOUPE,0.0,0.0,0.0,2.0,0.0,2,5 or less events
DASSAULT-FALCON900EX,0.0,0.0,0.0,10.0,0.0,2,5 or less events
DANIELS ALAN L-KITFOX SERIES 7,0.0,0.0,0.0,2.0,0.0,2,5 or less events
CubCrafters Inc-CC11-160,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Cub Crafters-CARBON CUB EX,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Costruzioni Aeronautiche-P2002 Sierra,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-C-180,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Costruzioni Aeronautiche Tecna-P2004 Bravo,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Continental Copters-MK6B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Consolidated Aeronautics Inc.-LA-4-200,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cobb Intl-EXEC 90,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Classic Aircraft Corp.-WACO YMF,0.0,0.0,0.0,7.0,0.0,2,5 or less events
Cirrus Design Corporation-SR20,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Champion-AERONCA 7FC,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Convair-240,0.0,0.0,0.0,9.0,0.0,3,5 or less events
Cessna-C-172P,0.0,0.0,0.0,9.0,0.0,4,5 or less events
Cessna-C-170B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-C-150L,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Cessna-182-D,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Cessna-180D,0.0,0.0,0.0,17.0,0.0,8,10 or less events
Cessna-180-J,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-180-A,0.0,0.0,0.0,7.0,0.0,4,5 or less events
Cessna-172SP,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Cessna-172RGII,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-182R II,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-172N II,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-172-M,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-172 N,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-170-B,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Cessna-152U,0.0,0.0,0.0,5.0,0.0,3,5 or less events
Cessna-150-M,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Centrair-101A,0.0,0.0,0.0,3.0,0.0,3,5 or less events
Cessna-172J,0.0,0.0,0.0,5.0,0.0,3,5 or less events
DAYTON A BABCOCK-STORM,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-182T,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-188-B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-C-150K,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-C-140,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Cessna-A185-F,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-A-188-B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-750,0.0,0.0,0.0,10.0,0.0,2,5 or less events
Cessna-336,0.0,0.0,0.0,11.0,0.0,6,10 or less events
Cessna-182U,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-310B,0.0,0.0,0.0,22.0,0.0,9,10 or less events
Cessna-305-A,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-210P,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-206U,0.0,0.0,0.0,11.0,0.0,2,5 or less events
Cessna-206E,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-206B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-188T,0.0,0.0,0.0,3.0,0.0,3,5 or less events
Cessna-310A,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Casa-C-212-200,0.0,0.0,0.0,19.0,0.0,2,5 or less events
DE HAVILLAND-DHC6,0.0,0.0,0.0,1.0,0.0,3,5 or less events
DEHAVILLAND-DHC 6 TWIN OTTER,0.0,0.0,0.0,20.0,0.0,4,5 or less events
EMBRAER-EMB-110P1,0.0,0.0,0.0,2.0,0.0,2,5 or less events
EMBRAER-EMB-120ER,0.0,0.0,0.0,35.0,0.0,2,5 or less events
EMBRAER-EMB-135KL,0.0,0.0,0.0,131.0,0.0,3,5 or less events
EMBRAER-EMB-145XR,0.0,0.0,0.0,96.0,0.0,2,5 or less events
EMBRAER-EMB145,0.0,0.0,0.0,326.0,0.0,8,10 or less events
EUROCOPTER-AS350B3,0.0,0.0,0.0,5.0,0.0,3,5 or less events
EUROCOPTER-BO105,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Eclipse Aviation Corporation-EA500,0.0,0.0,0.0,8.0,0.0,3,5 or less events
Eiriavion Oy-PIK-20B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Eiriavion Oy-PIK-20E,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Emair-MA-1B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Embraer-EMB-120,0.0,0.0,0.0,37.0,0.0,4,5 or less events
Embraer-EMB120,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Emroth-emair-MA-1B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Enstrom-280 FX,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Ercoupe-415-E,0.0,0.0,0.0,2.0,0.0,2,5 or less events
FAIRCHILD-227,0.0,0.0,0.0,13.0,0.0,2,5 or less events
GATES LEAR JET-35,0.0,0.0,0.0,23.0,0.0,4,5 or less events
GADDIS MICHAEL-EXEC 162 F,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Fokker-F28 MK 0100,0.0,0.0,0.0,186.0,0.0,2,5 or less events
Fokker-F27-500,0.0,0.0,0.0,179.0,0.0,2,5 or less events
Fairchild-SW3,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Fairchild-SA226TC,0.0,0.0,0.0,18.0,0.0,2,5 or less events
EMBRAER-EMB 145XR,0.0,0.0,0.0,37.0,0.0,2,5 or less events
Fairchild-PT-19,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Fairchild-C-82A,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Fairchild-24W-46,0.0,0.0,0.0,5.0,0.0,3,5 or less events
Fairchild-24R-46A,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Fairchild Swearingen-SA226TC,0.0,0.0,0.0,16.0,0.0,2,5 or less events
FLIGHT DESIGN-CTLS,0.0,0.0,0.0,6.0,0.0,4,5 or less events
FLEET-FLEET 16B,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Fairchild-F-27,0.0,0.0,0.0,30.0,0.0,3,5 or less events
EMBRAER-EMB 145LR,0.0,0.0,0.0,394.0,0.0,4,5 or less events
EIRIAVION OY-PIK 20B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Douglas-MD-11,0.0,0.0,0.0,0.0,0.0,2,5 or less events
De Havilland-BEAVER U-6A,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Dassault-breguet-FALCON 900,0.0,0.0,0.0,13.0,0.0,2,5 or less events
Dassault-breguet-FALCON 50,0.0,0.0,0.0,8.0,0.0,2,5 or less events
Dassault-DA-20,0.0,0.0,0.0,17.0,0.0,5,5 or less events
DOUGLAS-DC9,0.0,0.0,0.0,147.0,0.0,2,5 or less events
DOUGLAS-DC 9 83,0.0,0.0,0.0,163.0,0.0,2,5 or less events
Zenith-CH601,0.0,0.0,0.0,4.0,0.0,3,5 or less events
DOUGLAS-C 118A,0.0,0.0,0.0,6.0,0.0,2,5 or less events
DIAMOND AIRCRAFT IND INC-DA 42,0.0,0.0,0.0,4.0,0.0,2,5 or less events
DIAMOND AIRCRAFT IND INC-DA 20 C1,0.0,0.0,0.0,16.0,0.0,11,Sufficient Data
DIAMOND AIRCRAFT IND GMBH-DA 42,0.0,0.0,0.0,3.0,0.0,2,5 or less events
DIAMOND AIRCRAFT IND GMBH-DA 40 NG,0.0,0.0,0.0,3.0,0.0,3,5 or less events
DEHAVILLAND-DHC-2 MK. I(L20A),0.0,0.0,0.0,24.0,0.0,7,10 or less events
DEHAVILLAND-DHC-2 MK 1,0.0,0.0,0.0,10.0,0.0,2,5 or less events
DJI-Phantom,0.0,0.0,0.0,6.0,0.0,2,5 or less events
DEHAVILLAND-BEAVER U-6A,0.0,0.0,0.0,14.0,0.0,2,5 or less events
De Havilland-DHC-8-101,0.0,0.0,0.0,48.0,0.0,2,5 or less events
De Havilland-SHD-6,0.0,0.0,0.0,6.0,0.0,2,5 or less events
Douglas-DC8-62,0.0,0.0,0.0,8.0,0.0,2,5 or less events
Douglas-DC-9-51,0.0,0.0,0.0,816.0,0.0,7,10 or less events
Douglas-DC-8-71,0.0,0.0,0.0,918.0,0.0,5,5 or less events
Douglas-DC-8-54F,0.0,0.0,0.0,8.0,0.0,2,5 or less events
Douglas-DC-3A,0.0,0.0,0.0,9.0,0.0,4,5 or less events
Douglas-DC-10-30F,0.0,0.0,0.0,208.0,0.0,2,5 or less events
De Havilland-DHC2,0.0,0.0,0.0,18.0,0.0,5,5 or less events
Douglas-C-118A,0.0,0.0,0.0,6.0,0.0,2,5 or less events
Dornier-DO-228-201,0.0,0.0,0.0,18.0,0.0,2,5 or less events
Dornier-DO-228,0.0,0.0,0.0,25.0,0.0,2,5 or less events
Dornier-DO 328-100,0.0,0.0,0.0,45.0,0.0,2,5 or less events
Diamond-DA42,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Diamond-DA 40,0.0,0.0,0.0,6.0,0.0,4,5 or less events
Diamond Aircraft Industries-DA 20-C1,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Dornier-DO-228-202,0.0,0.0,0.0,149.0,0.0,2,5 or less events
GENERAL ATOMICS-MQ-9,0.0,0.0,0.0,9.0,0.0,4,5 or less events
CUBCRAFTERS-CC11-160,0.0,0.0,0.0,4.0,0.0,3,5 or less events
CUB CRAFTERS INC-CC19,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Beech-B-24R,0.0,0.0,0.0,6.0,0.0,2,5 or less events
Beech-B58,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Beech-BE-23-B24R,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Beech-BE-55B,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Beech-BE-58P,0.0,0.0,0.0,7.0,0.0,2,5 or less events
Beech-BE-60,0.0,0.0,0.0,12.0,0.0,4,5 or less events
Beech-BE-95,0.0,0.0,0.0,6.0,0.0,2,5 or less events
Beech-BE-95-55,0.0,0.0,0.0,11.0,0.0,2,5 or less events
Beech-BE-99,0.0,0.0,0.0,47.0,0.0,6,10 or less events
Beech-C33,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Beech-C45G,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Beech-D-18S,0.0,0.0,0.0,11.0,0.0,3,5 or less events
Beech-E-18,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Beech-E-33,0.0,0.0,0.0,6.0,0.0,2,5 or less events
Beech-F90,0.0,0.0,0.0,16.0,0.0,6,10 or less events
Beech-G-18S,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Beech-N-35,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Bell-transworld-47G-2,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Bell-UH1-B,0.0,0.0,0.0,10.0,0.0,2,5 or less events
Bell-47J2A,0.0,0.0,0.0,9.0,0.0,3,5 or less events
Bell-47G-3B-1 SOLOY,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Bell-47G-3,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Bell-47D,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Beech-B-24-R,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Bell-430,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Bell-222U,0.0,0.0,0.0,12.0,0.0,4,5 or less events
Bell-206-B2,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Bell-205,0.0,0.0,0.0,8.0,0.0,3,5 or less events
Bell-204,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Beech-V35A-TC,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Beech-UC-45J,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Bell-230,0.0,0.0,0.0,9.0,0.0,3,5 or less events
Beech-A55,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Beech-99A,0.0,0.0,0.0,17.0,0.0,4,5 or less events
Beech-55B,0.0,0.0,0.0,10.0,0.0,3,5 or less events
BOEING-767 34AF,0.0,0.0,0.0,2.0,0.0,2,5 or less events
BOEING-767 323,0.0,0.0,0.0,181.0,0.0,2,5 or less events
BOEING-757-251,0.0,0.0,0.0,385.0,0.0,2,5 or less events
BOEING-757-236,0.0,0.0,0.0,2.0,0.0,2,5 or less events
BOEING-757-223,0.0,0.0,0.0,538.0,0.0,4,5 or less events
BOEING-757 - 236,0.0,0.0,0.0,0.0,0.0,3,5 or less events
BOEING-787-8,0.0,0.0,0.0,0.0,0.0,3,5 or less events
BOEING-747 422,0.0,0.0,0.0,0.0,0.0,2,5 or less events
BOEING-737 - 800,0.0,0.0,0.0,151.0,0.0,3,5 or less events
BLACK DONALD-COZY III,0.0,0.0,0.0,2.0,0.0,2,5 or less events
BIRD-CK,0.0,0.0,0.0,3.0,0.0,2,5 or less events
BICE DAVID E-BEARHAWK,0.0,0.0,0.0,2.0,0.0,2,5 or less events
BELLANCA-14-19-3,0.0,0.0,0.0,4.0,0.0,2,5 or less events
BELL-412 - EP,0.0,0.0,0.0,11.0,0.0,2,5 or less events
BOEING-737-732,0.0,0.0,0.0,577.0,0.0,2,5 or less events
Bellanca-14-19-2,0.0,0.0,0.0,11.0,0.0,4,5 or less events
BOEING-787-800,0.0,0.0,0.0,186.0,0.0,2,5 or less events
BOEING-MD82,0.0,0.0,0.0,39.0,0.0,2,5 or less events
Beech-200C,0.0,0.0,0.0,9.0,0.0,2,5 or less events
Beech-18,0.0,0.0,0.0,14.0,0.0,7,10 or less events
BURKHART GROB-G-103A TWIN II ACRO,0.0,0.0,0.0,3.0,0.0,2,5 or less events
BOMBARDIER-DHC8,0.0,0.0,0.0,34.0,0.0,2,5 or less events
BOMBARDIER-DHC-8,0.0,0.0,0.0,0.0,0.0,2,5 or less events
BOMBARDIER-CL600 2D24,0.0,0.0,0.0,318.0,0.0,4,5 or less events
BOEING-B737,0.0,0.0,0.0,196.0,0.0,3,5 or less events
BOMBARDIER-CL600 2B16,0.0,0.0,0.0,13.0,0.0,2,5 or less events
BOMBARDIER-CL-600,0.0,0.0,0.0,55.0,0.0,2,5 or less events
BOMBARDIER-BD100 1A10,0.0,0.0,0.0,11.0,0.0,2,5 or less events
BOMBARDIER INC-DHC-8-202,0.0,0.0,0.0,66.0,0.0,2,5 or less events
BOMBARDIER INC-DHC 8 402,0.0,0.0,0.0,86.0,0.0,2,5 or less events
BOMBARDIER INC-CL-600-2B1,0.0,0.0,0.0,22.0,0.0,2,5 or less events
BOMBARDIER INC-CL 600 2B19,0.0,0.0,0.0,115.0,0.0,4,5 or less events
BOMBARDIER-CL-600-2B16,0.0,0.0,0.0,7.0,0.0,2,5 or less events
CUBCRAFTERS INC-CC11,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Berkshire-CONCEPT 70,0.0,0.0,0.0,3.0,0.0,3,5 or less events
Boeing Stearman-E75,0.0,0.0,0.0,7.0,0.0,3,5 or less events
British Aerospace-BAE 146-200,0.0,0.0,0.0,396.0,0.0,3,5 or less events
British Aerospace-JETSTREAM 3101,0.0,0.0,0.0,26.0,0.0,3,5 or less events
Burkhart Grob-102,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Burkhart Grob-103A,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Burkhart Grob-G 103 TWIN II,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Burkhart Grob-G-102,0.0,0.0,0.0,3.0,0.0,3,5 or less events
CESSNA-150C,0.0,0.0,0.0,7.0,0.0,5,5 or less events
CESSNA-172 - N,0.0,0.0,0.0,5.0,0.0,2,5 or less events
CESSNA-172 - R,0.0,0.0,0.0,3.0,0.0,3,5 or less events
CESSNA-172SP,0.0,0.0,0.0,5.0,0.0,3,5 or less events
CESSNA-180C,0.0,0.0,0.0,8.0,0.0,4,5 or less events
CESSNA-185E,0.0,0.0,0.0,2.0,0.0,2,5 or less events
CESSNA-350,0.0,0.0,0.0,5.0,0.0,2,5 or less events
CESSNA-421A,0.0,0.0,0.0,6.0,0.0,2,5 or less events
CESSNA-A150M,0.0,0.0,0.0,2.0,0.0,2,5 or less events
CESSNA-LC41-550FG,0.0,0.0,0.0,9.0,0.0,3,5 or less events
CESSNA-P206C,0.0,0.0,0.0,7.0,0.0,2,5 or less events
CUB CRAFTERS INC-CC11-100,0.0,0.0,0.0,6.0,0.0,4,5 or less events
CUB CRAFTERS INC-CC11 100,0.0,0.0,0.0,5.0,0.0,3,5 or less events
COSTRUZIONI AERONAUTICHE TECNA-P2006T,0.0,0.0,0.0,4.0,0.0,2,5 or less events
CONSOLIDATED VULTEE-BT13,0.0,0.0,0.0,4.0,0.0,2,5 or less events
COLUMBIA AIRCRAFT MFG-LC42-550FG,0.0,0.0,0.0,3.0,0.0,2,5 or less events
COLUMBIA AIRCRAFT MFG-LC41,0.0,0.0,0.0,2.0,0.0,2,5 or less events
British Aerospace-BA-31,0.0,0.0,0.0,24.0,0.0,2,5 or less events
CLASSIC AIRCRAFT CORP-WACO YMF,0.0,0.0,0.0,7.0,0.0,3,5 or less events
CIRRUS DESIGN CORP-SF50,0.0,0.0,0.0,10.0,0.0,4,5 or less events
CHAMPION-7GC,0.0,0.0,0.0,9.0,0.0,5,5 or less events
CESSNA/AIR REPAIR INC-305F,0.0,0.0,0.0,3.0,0.0,2,5 or less events
CESSNA-U206B,0.0,0.0,0.0,13.0,0.0,3,5 or less events
CESSNA-TP206B,0.0,0.0,0.0,3.0,0.0,2,5 or less events
CESSNA-T210H,0.0,0.0,0.0,4.0,0.0,2,5 or less events
CIRRUS-SR22 - NO SERIES,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Brantly-B-2B,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Bordelon-Kitfox IV,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Bombardier-CL-600,0.0,0.0,0.0,131.0,0.0,2,5 or less events
Boeing-747-130,0.0,0.0,0.0,943.0,0.0,2,5 or less events
Boeing-737-524,0.0,0.0,0.0,167.0,0.0,2,5 or less events
Boeing-737-49R,0.0,0.0,0.0,186.0,0.0,2,5 or less events
Boeing-737-3T0,0.0,0.0,0.0,179.0,0.0,2,5 or less events
Boeing-737-3B7,0.0,0.0,0.0,403.0,0.0,5,5 or less events
Boeing-737-3A4,0.0,0.0,0.0,165.0,0.0,2,5 or less events
Boeing-747-251B,0.0,0.0,0.0,388.0,0.0,2,5 or less events
Boeing-737-247,0.0,0.0,0.0,124.0,0.0,2,5 or less events
Boeing-727-25C,0.0,0.0,0.0,6.0,0.0,2,5 or less events
Boeing-727-257,0.0,0.0,0.0,129.0,0.0,2,5 or less events
Boeing-727-233,0.0,0.0,0.0,138.0,0.0,2,5 or less events
Boeing-727-23,0.0,0.0,0.0,187.0,0.0,3,5 or less events
Boeing-707-123B,0.0,0.0,0.0,172.0,0.0,2,5 or less events
Boeing-369E,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Boeing-737-217,0.0,0.0,0.0,216.0,0.0,4,5 or less events
Boeing - Canada (de Havilland)-DHC-8-102,0.0,0.0,0.0,47.0,0.0,2,5 or less events
Boeing-747-251F,0.0,0.0,0.0,9.0,0.0,3,5 or less events
Boeing-747SP,0.0,0.0,0.0,188.0,0.0,3,5 or less events
"Bombardier, Inc.-CL-600-2C10",0.0,0.0,0.0,173.0,0.0,2,5 or less events
Boeing-VC-137B-BN,0.0,0.0,0.0,97.0,0.0,2,5 or less events
Boeing-B75-N1,0.0,0.0,0.0,6.0,0.0,5,5 or less events
Boeing-B75-A75N1,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Boeing-B737,0.0,0.0,0.0,169.0,0.0,2,5 or less events
Boeing-B-75,0.0,0.0,0.0,5.0,0.0,3,5 or less events
Boeing-747-269B,0.0,0.0,0.0,12.0,0.0,2,5 or less events
Boeing-B-747,0.0,0.0,0.0,880.0,0.0,2,5 or less events
Boeing-B-727-200,0.0,0.0,0.0,85.0,0.0,2,5 or less events
Boeing-A75N1 (PT17),0.0,0.0,0.0,4.0,0.0,2,5 or less events
Boeing-A75L300,0.0,0.0,0.0,5.0,0.0,3,5 or less events
Boeing-767-232,0.0,0.0,0.0,562.0,0.0,4,5 or less events
Boeing-757-251,0.0,0.0,0.0,619.0,0.0,4,5 or less events
Boeing-757-225,0.0,0.0,0.0,295.0,0.0,2,5 or less events
Boeing-B-737-222,0.0,0.0,0.0,130.0,0.0,2,5 or less events
BELL-230,0.0,0.0,0.0,6.0,0.0,3,5 or less events
GREAT LAKES-2T-1A-2,0.0,0.0,0.0,12.0,0.0,7,10 or less events
GRUMMAN ACFT ENG COR-SCHWEIZER-G 164,0.0,0.0,0.0,3.0,0.0,3,5 or less events
ROCKWELL INTERNATIONAL-112TC,0.0,0.0,0.0,3.0,0.0,2,5 or less events
ROCKWELL INTERNATIONAL-114,0.0,0.0,0.0,16.0,0.0,9,10 or less events
ROCKWELL INTERNATIONAL-500-S,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Raven-RALLEY RX7,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Republic-RC3,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Robinson Helicopter-R22 Beta,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Robinson-R-22M,0.0,0.0,0.0,8.0,0.0,4,5 or less events
Robinson-R22 B,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Robinson-R22HP,0.0,0.0,0.0,8.0,0.0,5,5 or less events
Rockwell International-S2R,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Rockwell-500S,0.0,0.0,0.0,10.0,0.0,2,5 or less events
Rockwell-AC-112A,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Rockwell-AC-690,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Rockwell-INTL S-2R,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Rockwell-NA-265-80,0.0,0.0,0.0,17.0,0.0,4,5 or less events
"Rotec Engineering, Inc.-RALLY 3",0.0,0.0,0.0,5.0,0.0,3,5 or less events
Rotorway-EXECUTIVE,0.0,0.0,0.0,6.0,0.0,5,5 or less events
SOCATA-TB200,0.0,0.0,0.0,4.0,0.0,2,5 or less events
SMITH-AEROSTAR601,0.0,0.0,0.0,7.0,0.0,5,5 or less events
SKYKITS CORP-SAVANNAH VGW,0.0,0.0,0.0,3.0,0.0,3,5 or less events
SHORT BROS. & HARLAND-SC7 SERIES 3,0.0,0.0,0.0,3.0,0.0,2,5 or less events
SCOTTISH AVIATION-SERIES 100 MDL 101,0.0,0.0,0.0,4.0,0.0,2,5 or less events
SCHWEIZER-SGS233,0.0,0.0,0.0,4.0,0.0,2,5 or less events
REMOS AIRCRAFT GMBH-REMOS G-3/,0.0,0.0,0.0,3.0,0.0,2,5 or less events
SCHWEIZER-SGS 1-26B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
SCHWEIZER-G-164B,0.0,0.0,0.0,3.0,0.0,3,5 or less events
SCHWEIZER-300C,0.0,0.0,0.0,4.0,0.0,2,5 or less events
SCHWEIZER(HUGHES)AIRCRAFT CORP-TH55A/269A,0.0,0.0,0.0,4.0,0.0,2,5 or less events
SCHLEICHER-ASK21,0.0,0.0,0.0,3.0,0.0,2,5 or less events
SCHLEICHER ALEXANDER GMBH & CO-ASH 26 E,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Ryan-NAVION-A,0.0,0.0,0.0,3.0,0.0,2,5 or less events
SCHWEIZER-SGS 1 26B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
REMOS AIRCRAFT GMBH-G-3/600,0.0,0.0,0.0,3.0,0.0,2,5 or less events
RANS-S7,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Questaire-VENTURE,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Piper-PA-25-260C,0.0,0.0,0.0,3.0,0.0,3,5 or less events
Piper-PA-25-235D,0.0,0.0,0.0,3.0,0.0,3,5 or less events
Piper-PA-23-250T,0.0,0.0,0.0,4.0,0.0,4,5 or less events
Piper-PA-22/20,0.0,0.0,0.0,6.0,0.0,5,5 or less events
Piper-PA-20-115,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Piper-PA-18S,0.0,0.0,0.0,5.0,0.0,3,5 or less events
Piper-PA-25C-235,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Piper-PA-18A 150,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Piper-PA 22,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Piper-PA 18-135,0.0,0.0,0.0,5.0,0.0,3,5 or less events
Piper-PA 16,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Piper-PA 11,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Piper-J-5,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Piper-J-3 CUB,0.0,0.0,0.0,5.0,0.0,3,5 or less events
Piper-PA 38-112,0.0,0.0,0.0,4.0,0.0,3,5 or less events
STEARMAN AIRCRAFT-C3-B,0.0,0.0,0.0,5.0,0.0,3,5 or less events
Piper-PA-28RT,0.0,0.0,0.0,5.0,0.0,3,5 or less events
Piper-PA-34-22OT,0.0,0.0,0.0,7.0,0.0,2,5 or less events
Pitts-S1T,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Pitts-S1S,0.0,0.0,0.0,6.0,0.0,5,5 or less events
Pitts-S1-C,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Pipistrel-SINUS 912,0.0,0.0,0.0,2.0,0.0,2,5 or less events
